drmin,drmax,selection,output_file,reduction_factor
0.01,0.2000,0.1500,wzp6_ee_Hqqmunumu_ecm125.root,0.06556
0.01,0.2000,0.1500,wzp6_ee_Htaunutauqq_ecm125.root,0.684829
0.01,0.2000,0.1500,wzp6_ee_Hqqtaunutau_ecm125.root,0.727744
0.01,0.2000,0.1600,wzp6_ee_Henueqq_ecm125.root,0.07190777777777778
0.01,0.2000,0.1600,wzp6_ee_Hqqenue_ecm125.root,0.085791
0.01,0.2000,0.1600,wzp6_ee_Hmunumuqq_ecm125.root,0.051377
0.01,0.2000,0.1600,wzp6_ee_Hqqmunumu_ecm125.root,0.063914
0.01,0.2000,0.1600,wzp6_ee_Htaunutauqq_ecm125.root,0.684161
0.01,0.2000,0.1600,wzp6_ee_Hqqtaunutau_ecm125.root,0.727154
0.01,0.2000,0.1700,wzp6_ee_Henueqq_ecm125.root,0.07001666666666667
0.01,0.2000,0.1700,wzp6_ee_Hqqenue_ecm125.root,0.083702
0.01,0.2000,0.1700,wzp6_ee_Hmunumuqq_ecm125.root,0.050099
0.01,0.2000,0.1700,wzp6_ee_Hqqmunumu_ecm125.root,0.062431
0.01,0.2000,0.1700,wzp6_ee_Htaunutauqq_ecm125.root,0.683523
0.01,0.2000,0.1700,wzp6_ee_Hqqtaunutau_ecm125.root,0.726585
0.01,0.2000,0.1800,wzp6_ee_Henueqq_ecm125.root,0.0682
0.01,0.2000,0.1800,wzp6_ee_Hqqenue_ecm125.root,0.081732
0.01,0.2000,0.1800,wzp6_ee_Hmunumuqq_ecm125.root,0.048913
0.01,0.2000,0.1800,wzp6_ee_Hqqmunumu_ecm125.root,0.061068
0.01,0.2000,0.1800,wzp6_ee_Htaunutauqq_ecm125.root,0.682968
0.01,0.2000,0.1800,wzp6_ee_Hqqtaunutau_ecm125.root,0.726074
0.01,0.2000,0.1900,wzp6_ee_Henueqq_ecm125.root,0.06653
0.01,0.2000,0.1900,wzp6_ee_Hqqenue_ecm125.root,0.079877
0.01,0.2000,0.1900,wzp6_ee_Hmunumuqq_ecm125.root,0.047825
0.01,0.2000,0.1900,wzp6_ee_Hqqmunumu_ecm125.root,0.05978
0.01,0.2000,0.1900,wzp6_ee_Htaunutauqq_ecm125.root,0.682446
0.01,0.2000,0.1900,wzp6_ee_Hqqtaunutau_ecm125.root,0.725603
0.01,0.2000,0.2000,wzp6_ee_Henueqq_ecm125.root,0.06507666666666667
0.01,0.2000,0.2000,wzp6_ee_Hqqenue_ecm125.root,0.078176
0.01,0.2000,0.2000,wzp6_ee_Hmunumuqq_ecm125.root,0.046775
0.01,0.2000,0.2000,wzp6_ee_Hqqmunumu_ecm125.root,0.058522
0.01,0.2000,0.2000,wzp6_ee_Htaunutauqq_ecm125.root,0.681966
0.01,0.2000,0.2000,wzp6_ee_Hqqtaunutau_ecm125.root,0.725168
0.01,0.4000,0.0100,wzp6_ee_Henueqq_ecm125.root,0.3026711111111111
0.01,0.4000,0.0100,wzp6_ee_Hqqenue_ecm125.root,0.359262
0.01,0.4000,0.0100,wzp6_ee_Hmunumuqq_ecm125.root,0.249263
0.01,0.4000,0.0100,wzp6_ee_Hqqmunumu_ecm125.root,0.305991
0.01,0.4000,0.0100,wzp6_ee_Htaunutauqq_ecm125.root,0.760653
0.01,0.4000,0.0100,wzp6_ee_Hqqtaunutau_ecm125.root,0.799919
0.01,0.4000,0.0305,wzp6_ee_Henueqq_ecm125.root,0.20818
0.01,0.4000,0.0305,wzp6_ee_Hqqenue_ecm125.root,0.263224
0.01,0.4000,0.0305,wzp6_ee_Hmunumuqq_ecm125.root,0.172926
0.01,0.4000,0.0305,wzp6_ee_Hqqmunumu_ecm125.root,0.226278
0.01,0.4000,0.0305,wzp6_ee_Htaunutauqq_ecm125.root,0.741072
0.01,0.4000,0.0305,wzp6_ee_Hqqtaunutau_ecm125.root,0.785457
0.01,0.4000,0.0511,wzp6_ee_Henueqq_ecm125.root,0.17185666666666666
0.01,0.4000,0.0511,wzp6_ee_Hqqenue_ecm125.root,0.220626
0.01,0.4000,0.0511,wzp6_ee_Hmunumuqq_ecm125.root,0.141769
0.01,0.4000,0.0511,wzp6_ee_Hqqmunumu_ecm125.root,0.188269
0.01,0.4000,0.0511,wzp6_ee_Htaunutauqq_ecm125.root,0.730947
0.01,0.4000,0.0511,wzp6_ee_Hqqtaunutau_ecm125.root,0.775787
0.01,0.4000,0.0716,wzp6_ee_Henueqq_ecm125.root,0.15060222222222222
0.01,0.4000,0.0716,wzp6_ee_Hqqenue_ecm125.root,0.194749
0.01,0.4000,0.0716,wzp6_ee_Hmunumuqq_ecm125.root,0.123142
0.01,0.4000,0.0716,wzp6_ee_Hqqmunumu_ecm125.root,0.165254
0.01,0.4000,0.0716,wzp6_ee_Htaunutauqq_ecm125.root,0.724467
0.01,0.4000,0.0716,wzp6_ee_Hqqtaunutau_ecm125.root,0.769487
0.01,0.4000,0.0921,wzp6_ee_Henueqq_ecm125.root,0.13580333333333333
0.01,0.4000,0.0921,wzp6_ee_Hqqenue_ecm125.root,0.176479
0.01,0.4000,0.0921,wzp6_ee_Hmunumuqq_ecm125.root,0.110487
0.01,0.4000,0.0921,wzp6_ee_Hqqmunumu_ecm125.root,0.149428
0.01,0.4000,0.0921,wzp6_ee_Htaunutauqq_ecm125.root,0.719913
0.01,0.4000,0.0921,wzp6_ee_Hqqtaunutau_ecm125.root,0.764685
0.01,0.4000,0.1126,wzp6_ee_Henueqq_ecm125.root,0.12461444444444444
0.01,0.4000,0.1126,wzp6_ee_Hqqenue_ecm125.root,0.163042
0.01,0.4000,0.1126,wzp6_ee_Hmunumuqq_ecm125.root,0.101089
0.01,0.4000,0.1126,wzp6_ee_Hqqmunumu_ecm125.root,0.137886
0.01,0.4000,0.1126,wzp6_ee_Htaunutauqq_ecm125.root,0.716374
0.01,0.4000,0.1126,wzp6_ee_Hqqtaunutau_ecm125.root,0.761015
0.01,0.4000,0.1332,wzp6_ee_Henueqq_ecm125.root,0.11565
0.01,0.4000,0.1332,wzp6_ee_Hqqenue_ecm125.root,0.152535
0.01,0.4000,0.1332,wzp6_ee_Hmunumuqq_ecm125.root,0.093593
0.01,0.4000,0.1332,wzp6_ee_Hqqmunumu_ecm125.root,0.129025
0.01,0.4000,0.1332,wzp6_ee_Htaunutauqq_ecm125.root,0.713397
0.01,0.4000,0.1332,wzp6_ee_Hqqtaunutau_ecm125.root,0.757906
0.01,0.4000,0.1537,wzp6_ee_Henueqq_ecm125.root,0.10817
0.01,0.4000,0.1537,wzp6_ee_Hqqenue_ecm125.root,0.144039
0.01,0.4000,0.1537,wzp6_ee_Hmunumuqq_ecm125.root,0.087506
0.01,0.4000,0.1537,wzp6_ee_Hqqmunumu_ecm125.root,0.121874
0.01,0.4000,0.1537,wzp6_ee_Htaunutauqq_ecm125.root,0.710966
0.01,0.4000,0.1537,wzp6_ee_Hqqtaunutau_ecm125.root,0.755399
0.01,0.4000,0.1742,wzp6_ee_Henueqq_ecm125.root,0.10186222222222223
0.01,0.4000,0.1742,wzp6_ee_Hqqenue_ecm125.root,0.136926
0.01,0.4000,0.1742,wzp6_ee_Hmunumuqq_ecm125.root,0.082409
0.01,0.4000,0.1742,wzp6_ee_Hqqmunumu_ecm125.root,0.11615
0.01,0.4000,0.1742,wzp6_ee_Htaunutauqq_ecm125.root,0.708888
0.01,0.4000,0.1742,wzp6_ee_Hqqtaunutau_ecm125.root,0.75325
0.01,0.4000,0.1947,wzp6_ee_Henueqq_ecm125.root,0.09637777777777778
0.01,0.4000,0.1947,wzp6_ee_Hqqenue_ecm125.root,0.130989
0.01,0.4000,0.1947,wzp6_ee_Hmunumuqq_ecm125.root,0.077826
0.01,0.4000,0.1947,wzp6_ee_Hqqmunumu_ecm125.root,0.11119
0.01,0.4000,0.1947,wzp6_ee_Htaunutauqq_ecm125.root,0.707123
0.01,0.4000,0.1947,wzp6_ee_Hqqtaunutau_ecm125.root,0.75141
0.01,0.4000,0.2153,wzp6_ee_Henueqq_ecm125.root,0.09151666666666666
0.01,0.4000,0.2153,wzp6_ee_Hqqenue_ecm125.root,0.125725
0.01,0.4000,0.2153,wzp6_ee_Hmunumuqq_ecm125.root,0.07375
0.01,0.4000,0.2153,wzp6_ee_Hqqmunumu_ecm125.root,0.106909
0.01,0.4000,0.2153,wzp6_ee_Htaunutauqq_ecm125.root,0.705589
0.01,0.4000,0.2153,wzp6_ee_Hqqtaunutau_ecm125.root,0.749825
0.01,0.4000,0.2358,wzp6_ee_Henueqq_ecm125.root,0.08715666666666666
0.01,0.4000,0.2358,wzp6_ee_Hqqenue_ecm125.root,0.12099
